setup_id,symbol,direction,setup_time,entry_time,entry_price,sl,tp,planned_rr,exit_time,exit_price,exit_reason,pnl_r,rectangle_size_points,ai_score
NAS100_2026-04-22T21:30:00_LONG,NAS100,buy,2026-04-22T21:30:00,2026-04-22T21:31:00,26847.65,26827.9,26906.9,3.0,2026-04-22T21:58:00,26827.9,SL_HIT,-1.0,925.0,100
NAS100_2026-04-22T21:45:00_LONG,NAS100,buy,2026-04-22T21:45:00,2026-04-22T21:46:00,26841.15,26826.9,26883.9,3.0,2026-04-22T22:10:00,26883.9,TP_HIT,3.0,775.0,100
NAS100_2026-04-24T14:15:00_LONG,NAS100,buy,2026-04-24T14:15:00,2026-04-24T14:16:00,26974.82,26938.69,27083.210000000003,3.0,2026-04-24T16:04:00,27083.210000000003,TP_HIT,3.0,3100.0,100
NAS100_2026-04-29T06:00:00_LONG,NAS100,buy,2026-04-29T06:00:00,2026-04-29T06:01:00,27141.51,27080.13,27325.64999999999,3.0,2026-04-29T18:30:00,27080.13,SL_HIT,-1.0,2825.0,100
NAS100_2026-05-01T03:45:00_LONG,NAS100,buy,2026-05-01T03:45:00,2026-05-01T03:46:00,27502.57,27449.95,27660.429999999997,3.0,2026-05-01T13:48:00,27449.95,SL_HIT,-1.0,2261.999999999898,100
NAS100_2026-05-01T09:00:00_LONG,NAS100,buy,2026-05-01T09:00:00,2026-05-01T09:01:00,27534.82,27515.95,27591.429999999997,3.0,2026-05-01T09:43:00,27515.95,SL_HIT,-1.0,786.9999999998981,100
NAS100_2026-05-04T05:15:00_LONG,NAS100,buy,2026-05-04T05:15:00,2026-05-04T05:16:00,27748.57,27709.57,27865.57,3.0,2026-05-04T10:19:00,27865.57,TP_HIT,3.0,2850.0,100
NAS100_2026-05-04T11:00:00_LONG,NAS100,buy,2026-05-04T11:00:00,2026-05-04T11:01:00,27828.69,27806.99,27893.78999999999,3.0,2026-05-04T11:25:00,27806.99,SL_HIT,-1.0,1700.0,100
NAS100_2026-05-04T11:30:00_LONG,NAS100,buy,2026-05-04T11:30:00,2026-05-04T11:31:00,27815.24,27774.24,27938.24,3.0,2026-05-04T13:05:00,27774.24,SL_HIT,-1.0,1250.0,100
