setup_id,symbol,direction,setup_time,entry_time,entry_price,sl,tp,planned_rr,exit_time,exit_price,exit_reason,pnl_r,rectangle_size_points,ai_score
GBPUSD_2026-04-23T02:45:00_SHORT,GBPUSD,sell,2026-04-23T02:45:00,2026-04-23T02:58:00,1.35035,1.3512000000000002,1.3477999999999992,3.0,2026-04-23T16:52:00,1.3512000000000002,SL_HIT,-1.0,57.00000000001814,100
GBPUSD_2026-04-30T02:00:00_SHORT,GBPUSD,sell,2026-04-30T02:00:00,2026-04-30T02:03:00,1.34747,1.34839,1.3447099999999998,3.0,2026-04-30T04:35:00,1.34839,SL_HIT,-1.0,61.99999999998428,100
GBPUSD_2026-05-01T21:00:00_LONG,GBPUSD,buy,2026-05-01T21:00:00,2026-05-01T21:02:00,1.3622,1.3612199999999999,1.3651400000000007,3.0,2026-05-01T21:23:00,1.3612199999999999,SL_HIT,-1.0,46.99999999999704,100
