setup_id,symbol,direction,setup_time,entry_time,entry_price,sl,tp,planned_rr,exit_time,exit_price,exit_reason,pnl_r,rectangle_size_points,ai_score
EURUSD_2026-04-21T14:15:00_LONG,EURUSD,buy,2026-04-21T14:15:00,2026-04-21T14:16:00,1.17604,1.1754399999999998,1.1778400000000004,3.0,2026-04-21T17:38:00,1.1754399999999998,SL_HIT,-1.0,9.999999999998899,100
EURUSD_2026-04-21T14:45:00_LONG,EURUSD,buy,2026-04-21T14:45:00,2026-04-21T14:54:00,1.17602,1.1754,1.1778800000000003,3.0,2026-04-21T19:57:00,1.1754,SL_HIT,-1.0,29.999999999996692,100
EURUSD_2026-04-21T15:15:00_LONG,EURUSD,buy,2026-04-21T15:15:00,2026-04-21T15:22:00,1.17585,1.1754,1.1772000000000002,3.0,2026-04-21T19:38:00,1.1772000000000002,TP_HIT,3.0,13.999999999980693,100
EURUSD_2026-04-21T16:00:00_LONG,EURUSD,buy,2026-04-21T16:00:00,2026-04-21T16:01:00,1.17607,1.17537,1.1781699999999997,3.0,2026-04-21T19:57:00,1.17537,SL_HIT,-1.0,23.99999999997959,100
EURUSD_2026-04-21T17:30:00_LONG,EURUSD,buy,2026-04-21T17:30:00,2026-04-21T17:31:00,1.17595,1.1751699999999998,1.1782900000000007,3.0,2026-04-21T20:00:00,1.1751699999999998,SL_HIT,-1.0,42.0000000000087,100
EURUSD_2026-04-21T18:30:00_SHORT,EURUSD,sell,2026-04-21T18:30:00,2026-04-21T18:37:00,1.17671,1.1774,1.1746399999999997,3.0,2026-04-21T19:41:00,1.1774,SL_HIT,-1.0,37.99999999998249,100
EURUSD_2026-04-21T21:45:00_LONG,EURUSD,buy,2026-04-21T21:45:00,2026-04-21T21:46:00,1.17437,1.17379,1.17611,3.0,2026-04-21T22:05:00,1.17379,SL_HIT,-1.0,11.000000000005448,100
EURUSD_2026-04-22T01:00:00_SHORT,EURUSD,sell,2026-04-22T01:00:00,2026-04-22T01:01:00,1.17244,1.17557,1.1630499999999997,3.0,2026-04-22T10:19:00,1.17557,SL_HIT,-1.0,80.99999999999774,100
EURUSD_2026-04-22T16:15:00_LONG,EURUSD,buy,2026-04-22T16:15:00,2026-04-22T16:16:00,1.17457,1.17401,1.1762499999999996,3.0,2026-04-22T16:40:00,1.17401,SL_HIT,-1.0,17.000000000000348,100
EURUSD_2026-04-23T05:30:00_SHORT,EURUSD,sell,2026-04-23T05:30:00,2026-04-23T05:31:00,1.17109,1.17162,1.1694999999999995,3.0,2026-04-23T08:57:00,1.1694999999999995,TP_HIT,3.0,25.999999999992692,100
EURUSD_2026-04-23T05:45:00_SHORT,EURUSD,sell,2026-04-23T05:45:00,2026-04-23T05:47:00,1.1711,1.17155,1.1697499999999998,3.0,2026-04-23T07:55:00,1.1697499999999998,TP_HIT,3.0,15.000000000009448,100
EURUSD_2026-04-23T08:45:00_LONG,EURUSD,buy,2026-04-23T08:45:00,2026-04-23T08:46:00,1.1697,1.1692399999999998,1.1710800000000003,3.0,2026-04-23T12:07:00,1.1710800000000003,TP_HIT,3.0,7.000000000001449,100
EURUSD_2026-04-23T12:00:00_LONG,EURUSD,buy,2026-04-23T12:00:00,2026-04-23T12:05:00,1.1704,1.1697799999999998,1.172260000000001,3.0,2026-04-23T12:30:00,1.1697799999999998,SL_HIT,-1.0,32.0000000000098,100
EURUSD_2026-04-23T19:45:00_SHORT,EURUSD,sell,2026-04-23T19:45:00,2026-04-23T19:46:00,1.171,1.1719000000000002,1.1682999999999997,3.0,2026-04-23T22:10:00,1.1682999999999997,TP_HIT,3.0,57.00000000001814,100
EURUSD_2026-04-24T02:15:00_LONG,EURUSD,buy,2026-04-24T02:15:00,2026-04-24T02:16:00,1.16888,1.16742,1.17326,3.0,2026-04-24T08:31:00,1.16742,SL_HIT,-1.0,79.99999999999119,100
EURUSD_2026-04-24T02:30:00_LONG,EURUSD,buy,2026-04-24T02:30:00,2026-04-24T02:31:00,1.16847,1.16773,1.1706899999999998,3.0,2026-04-24T08:03:00,1.16773,SL_HIT,-1.0,35.00000000000725,100
EURUSD_2026-04-24T06:30:00_LONG,EURUSD,buy,2026-04-24T06:30:00,2026-04-24T06:33:00,1.1686,1.16797,1.1704900000000005,3.0,2026-04-24T07:46:00,1.16797,SL_HIT,-1.0,22.999999999995243,100
EURUSD_2026-04-24T08:00:00_LONG,EURUSD,buy,2026-04-24T08:00:00,2026-04-24T08:01:00,1.16783,1.16737,1.1692099999999996,3.0,2026-04-24T08:31:00,1.16737,SL_HIT,-1.0,7.999999999985795,100
EURUSD_2026-04-24T09:45:00_SHORT,EURUSD,sell,2026-04-24T09:45:00,2026-04-24T10:05:00,1.16786,1.1684100000000002,1.166209999999999,3.0,2026-04-24T12:44:00,1.1684100000000002,SL_HIT,-1.0,25.000000000008345,100
EURUSD_2026-04-24T11:30:00_SHORT,EURUSD,sell,2026-04-24T11:30:00,2026-04-24T11:31:00,1.16808,1.16862,1.16646,3.0,2026-04-24T12:46:00,1.16862,SL_HIT,-1.0,11.999999999989795,100
EURUSD_2026-04-24T22:00:00_SHORT,EURUSD,sell,2026-04-24T22:00:00,2026-04-24T22:01:00,1.17189,1.1723700000000001,1.17045,3.0,2026-04-27T02:02:00,1.17045,TP_HIT,3.0,19.999999999997797,100
EURUSD_2026-04-27T06:00:00_SHORT,EURUSD,sell,2026-04-27T06:00:00,2026-04-27T06:07:00,1.17188,1.1729200000000002,1.1687599999999996,3.0,2026-04-27T08:04:00,1.1729200000000002,SL_HIT,-1.0,67.00000000001704,100
EURUSD_2026-04-27T06:15:00_SHORT,EURUSD,sell,2026-04-27T06:15:00,2026-04-27T06:16:00,1.17217,1.17294,1.1698599999999995,3.0,2026-04-27T08:04:00,1.17294,SL_HIT,-1.0,43.99999999999959,100
EURUSD_2026-04-27T07:30:00_SHORT,EURUSD,sell,2026-04-27T07:30:00,2026-04-27T07:31:00,1.17248,1.17307,1.1707099999999997,3.0,2026-04-27T08:42:00,1.17307,SL_HIT,-1.0,14.000000000002897,100
EURUSD_2026-04-27T16:30:00_LONG,EURUSD,buy,2026-04-27T16:30:00,2026-04-27T16:31:00,1.17437,1.1736,1.1766799999999997,3.0,2026-04-27T18:58:00,1.1736,SL_HIT,-1.0,21.00000000000435,100
