setup_id,symbol,direction,setup_time,entry_time,entry_price,sl,tp,planned_rr,exit_time,exit_price,exit_reason,pnl_r,rectangle_size_points,ai_score
GBPUSD_2026-04-20T19:45:00_LONG,GBPUSD,buy,2026-04-20T19:45:00,2026-04-20T19:46:00,1.35261,1.35063,1.3585500000000004,3.0,2026-04-21T13:00:00,1.35063,SL_HIT,-1.0,168.99999999999693,100
GBPUSD_2026-04-23T02:45:00_SHORT,GBPUSD,sell,2026-04-23T02:45:00,2026-04-23T02:58:00,1.35035,1.3510000000000002,1.3483999999999992,3.0,2026-04-23T05:15:00,1.3483999999999992,TP_HIT,3.0,57.00000000001814,100
GBPUSD_2026-04-24T20:30:00_LONG,GBPUSD,buy,2026-04-24T20:30:00,2026-04-24T20:45:00,1.35085,1.3491799999999998,1.355860000000001,3.0,2026-04-27T15:48:00,1.355860000000001,TP_HIT,3.0,148.00000000001478,100
GBPUSD_2026-04-27T18:00:00_LONG,GBPUSD,buy,2026-04-27T18:00:00,2026-04-27T18:04:00,1.35563,1.35368,1.3614799999999996,3.0,2026-04-27T22:03:00,1.35368,SL_HIT,-1.0,166.99999999998383,100
GBPUSD_2026-04-30T02:00:00_SHORT,GBPUSD,sell,2026-04-30T02:00:00,2026-04-30T02:03:00,1.34747,1.34819,1.3453099999999998,3.0,2026-04-30T03:31:00,1.34819,SL_HIT,-1.0,61.99999999998428,100
