setup_id,symbol,direction,setup_time,entry_time,entry_price,sl,tp,planned_rr,exit_time,exit_price,exit_reason,pnl_r,rectangle_size_points,ai_score
EURUSD_2026-04-20T19:45:00_LONG,EURUSD,buy,2026-04-20T19:45:00,2026-04-20T19:46:00,1.17769,1.17623,1.1820699999999993,3.0,2026-04-21T13:05:00,1.17623,SL_HIT,-1.0,95.00000000000063,100
EURUSD_2026-04-28T17:45:00_SHORT,EURUSD,sell,2026-04-28T17:45:00,2026-04-28T17:46:00,1.16963,1.17001,1.1684899999999998,3.0,2026-04-28T18:35:00,1.17001,SL_HIT,-1.0,29.000000000012346,100
EURUSD_2026-04-29T20:45:00_SHORT,EURUSD,sell,2026-04-29T20:45:00,2026-04-29T20:53:00,1.16903,1.17044,1.1648000000000003,3.0,2026-04-30T15:29:00,1.17044,SL_HIT,-1.0,95.00000000000063,100
EURUSD_2026-04-30T11:00:00_SHORT,EURUSD,sell,2026-04-30T11:00:00,2026-04-30T11:01:00,1.16604,1.16655,1.16451,3.0,2026-04-30T11:26:00,1.16655,SL_HIT,-1.0,46.00000000001269,100
