setup_id,symbol,direction,setup_time,entry_time,entry_price,sl,tp,planned_rr,exit_time,exit_price,exit_reason,pnl_r,rectangle_size_points,ai_score
GBPUSD_2026-04-22T16:30:00_LONG,GBPUSD,buy,2026-04-22T16:30:00,2026-04-22T16:46:00,1.3508,1.35028,1.3523600000000002,3.0,2026-04-22T16:55:00,1.35028,SL_HIT,-1.0,12.999999999996346,100
GBPUSD_2026-04-22T19:15:00_SHORT,GBPUSD,sell,2026-04-22T19:15:00,2026-04-22T19:31:00,1.35166,1.35271,1.34851,3.0,2026-04-23T05:15:00,1.34851,TP_HIT,3.0,42.0000000000087,100
GBPUSD_2026-04-23T02:45:00_SHORT,GBPUSD,sell,2026-04-23T02:45:00,2026-04-23T03:01:00,1.35033,1.3512000000000002,1.3477199999999996,3.0,2026-04-23T16:52:00,1.3512000000000002,SL_HIT,-1.0,57.00000000001814,100
GBPUSD_2026-04-23T05:30:00_SHORT,GBPUSD,sell,2026-04-23T05:30:00,2026-04-23T05:47:00,1.35058,1.35121,1.3486899999999995,3.0,2026-04-23T07:55:00,1.3486899999999995,TP_HIT,3.0,31.000000000003244,100
GBPUSD_2026-04-23T05:45:00_SHORT,GBPUSD,sell,2026-04-23T05:45:00,2026-04-23T06:02:00,1.35086,1.3512700000000002,1.3496299999999992,3.0,2026-04-23T07:14:00,1.3496299999999992,TP_HIT,3.0,15.000000000009448,100
GBPUSD_2026-04-23T16:45:00_SHORT,GBPUSD,sell,2026-04-23T16:45:00,2026-04-23T17:03:00,1.35035,1.35158,1.3466599999999997,3.0,2026-04-23T19:46:00,1.35158,SL_HIT,-1.0,75.99999999998718,100
GBPUSD_2026-04-24T02:30:00_LONG,GBPUSD,buy,2026-04-24T02:30:00,2026-04-24T02:52:00,1.34647,1.34564,1.3489600000000004,3.0,2026-04-24T08:18:00,1.34564,SL_HIT,-1.0,51.00000000000104,100
GBPUSD_2026-04-24T06:30:00_LONG,GBPUSD,buy,2026-04-24T06:30:00,2026-04-24T06:46:00,1.34673,1.34619,1.34835,3.0,2026-04-24T07:46:00,1.34619,SL_HIT,-1.0,21.99999999998869,100
GBPUSD_2026-04-27T11:45:00_SHORT,GBPUSD,sell,2026-04-27T11:45:00,2026-04-27T12:28:00,1.35352,1.3541800000000002,1.3515399999999997,3.0,2026-04-27T12:50:00,1.3541800000000002,SL_HIT,-1.0,34.000000000000696,100
GBPUSD_2026-04-27T12:45:00_SHORT,GBPUSD,sell,2026-04-27T12:45:00,2026-04-27T13:02:00,1.35442,1.35494,1.3528599999999997,3.0,2026-04-27T13:24:00,1.35494,SL_HIT,-1.0,19.999999999997797,100
GBPUSD_2026-04-27T15:30:00_SHORT,GBPUSD,sell,2026-04-27T15:30:00,2026-04-27T16:11:00,1.35564,1.3561100000000001,1.3542299999999994,3.0,2026-04-27T16:24:00,1.3561100000000001,SL_HIT,-1.0,18.0000000000069,100
