setup_id,symbol,direction,setup_time,entry_time,entry_price,sl,tp,planned_rr,exit_time,exit_price,exit_reason,pnl_r,rectangle_size_points,rectangle_low,rectangle_high,ai_score
GBPUSD_2026-04-22T11:30:00_LONG,GBPUSD,buy,2026-04-22T11:30:00,2026-04-22T11:45:00,1.35075,1.35053,1.3514099999999996,3.0,2026-04-22T11:47:00,1.35053,SL_HIT,-1.0,12.999999999996346,1.35053,1.35066,78
GBPUSD_2026-04-22T14:15:00_SHORT,GBPUSD,sell,2026-04-22T14:15:00,2026-04-22T14:30:00,1.35157,1.35246,1.3488999999999998,3.0,2026-04-23T00:13:00,1.3488999999999998,TP_HIT,3.0,42.0000000000087,1.35204,1.35246,72
GBPUSD_2026-04-23T00:45:00_SHORT,GBPUSD,sell,2026-04-23T00:45:00,2026-04-23T01:00:00,1.35086,1.35102,1.3503799999999995,3.0,2026-04-23T01:11:00,1.3503799999999995,TP_HIT,3.0,15.000000000009448,1.35087,1.35102,72
GBPUSD_2026-04-23T11:45:00_SHORT,GBPUSD,sell,2026-04-23T11:45:00,2026-04-23T12:03:00,1.35035,1.35133,1.34741,3.0,2026-04-23T14:45:00,1.35133,SL_HIT,-1.0,75.99999999998718,1.35057,1.35133,82
GBPUSD_2026-04-23T21:30:00_LONG,GBPUSD,buy,2026-04-23T21:30:00,2026-04-23T21:45:00,1.3465,1.34589,1.34833,3.0,2026-04-24T02:57:00,1.34589,SL_HIT,-1.0,51.00000000000104,1.34589,1.3464,78
GBPUSD_2026-04-27T00:45:00_SHORT,GBPUSD,sell,2026-04-27T00:45:00,2026-04-28T02:39:00,1.35209,1.35235,1.3513100000000002,3.0,2026-04-28T03:04:00,1.35235,SL_HIT,-1.0,18.999999999991246,1.35216,1.35235,78
GBPUSD_2026-04-27T06:45:00_SHORT,GBPUSD,sell,2026-04-27T06:45:00,2026-04-27T07:28:00,1.35352,1.35393,1.35229,3.0,2026-04-27T07:34:00,1.35393,SL_HIT,-1.0,34.000000000000696,1.35359,1.35393,82
GBPUSD_2026-04-27T07:45:00_SHORT,GBPUSD,sell,2026-04-27T07:45:00,2026-04-27T08:02:00,1.35442,1.35469,1.35361,3.0,2026-04-27T08:08:00,1.35469,SL_HIT,-1.0,19.999999999997797,1.35449,1.35469,82
GBPUSD_2026-04-27T10:30:00_SHORT,GBPUSD,sell,2026-04-27T10:30:00,2026-04-27T11:11:00,1.35564,1.35586,1.3549799999999996,3.0,2026-04-27T11:22:00,1.35586,SL_HIT,-1.0,18.0000000000069,1.35568,1.35586,78
GBPUSD_2026-04-27T18:45:00_LONG,GBPUSD,buy,2026-04-27T18:45:00,2026-04-27T19:00:00,1.35328,1.35306,1.3539400000000004,3.0,2026-04-27T21:02:00,1.3539400000000004,TP_HIT,3.0,19.999999999997797,1.35306,1.35326,72
GBPUSD_2026-04-28T00:45:00_LONG,GBPUSD,buy,2026-04-28T00:45:00,2026-04-28T03:26:00,1.35329,1.35313,1.3537700000000006,3.0,2026-04-28T03:50:00,1.35313,SL_HIT,-1.0,11.000000000005448,1.35313,1.35324,72
GBPUSD_2026-04-28T08:00:00_LONG,GBPUSD,buy,2026-04-28T08:00:00,2026-04-28T08:15:00,1.35072,1.35021,1.35225,3.0,2026-04-28T09:00:00,1.35021,SL_HIT,-1.0,30.000000000018897,1.35021,1.35051,72
GBPUSD_2026-04-28T17:30:00_SHORT,GBPUSD,sell,2026-04-28T17:30:00,2026-04-28T18:04:00,1.35152,1.35176,1.3508,3.0,2026-04-28T18:10:00,1.35176,SL_HIT,-1.0,16.000000000016,1.3516,1.35176,78
GBPUSD_2026-04-28T22:00:00_SHORT,GBPUSD,sell,2026-04-28T22:00:00,2026-04-28T22:15:00,1.35216,1.35231,1.3517100000000004,3.0,2026-04-28T23:46:00,1.35231,SL_HIT,-1.0,13.999999999980693,1.35217,1.35231,82
