setup_id,symbol,direction,setup_time,entry_time,entry_price,sl,tp,planned_rr,exit_time,exit_price,exit_reason,pnl_r,rectangle_size_points,ai_score
EURUSD_2026-04-22T01:00:00_SHORT,EURUSD,sell,2026-04-22T01:00:00,2026-04-22T01:01:00,1.17244,1.17557,1.1630499999999997,3.0,2026-04-22T10:19:00,1.17557,SL_HIT,-1.0,80.99999999999774,100
EURUSD_2026-04-27T16:30:00_LONG,EURUSD,buy,2026-04-27T16:30:00,2026-04-27T16:31:00,1.17437,1.1736,1.1766799999999997,3.0,2026-04-27T18:58:00,1.1736,SL_HIT,-1.0,21.00000000000435,100
EURUSD_2026-04-28T17:45:00_SHORT,EURUSD,sell,2026-04-28T17:45:00,2026-04-28T17:46:00,1.16963,1.1702400000000002,1.1677999999999993,3.0,2026-04-28T18:37:00,1.1702400000000002,SL_HIT,-1.0,29.000000000012346,100
EURUSD_2026-04-29T05:15:00_LONG,EURUSD,buy,2026-04-29T05:15:00,2026-04-29T05:16:00,1.17182,1.1712099999999999,1.1736500000000007,3.0,2026-04-29T06:01:00,1.1712099999999999,SL_HIT,-1.0,11.000000000005448,100
EURUSD_2026-04-30T11:00:00_SHORT,EURUSD,sell,2026-04-30T11:00:00,2026-04-30T11:01:00,1.16604,1.1667800000000002,1.1638199999999994,3.0,2026-04-30T11:32:00,1.1667800000000002,SL_HIT,-1.0,46.00000000001269,100
EURUSD_2026-05-04T07:45:00_SHORT,EURUSD,sell,2026-05-04T07:45:00,2026-05-04T07:46:00,1.17259,1.1731200000000002,1.1709999999999996,3.0,2026-05-04T08:47:00,1.1731200000000002,SL_HIT,-1.0,12.000000000012,100
EURUSD_2026-05-05T11:30:00_SHORT,EURUSD,sell,2026-05-05T11:30:00,2026-05-05T11:31:00,1.16859,1.16921,1.1667299999999998,3.0,2026-05-05T12:07:00,1.16921,SL_HIT,-1.0,22.999999999995243,100
