setup_id,symbol,direction,setup_time,entry_time,entry_price,sl,tp,planned_rr,exit_time,exit_price,exit_reason,pnl_r,rectangle_size_points,rectangle_low,rectangle_high,ai_score
GBPUSD_2026-04-22T14:30:00_LONG,GBPUSD,buy,2026-04-22T14:30:00,2026-04-22T14:45:00,1.35075,1.35028,1.3521599999999998,3.0,2026-04-22T14:55:00,1.35028,SL_HIT,-1.0,12.999999999996346,1.35053,1.35066,100
GBPUSD_2026-04-22T17:15:00_SHORT,GBPUSD,sell,2026-04-22T17:15:00,2026-04-22T17:30:00,1.35157,1.35271,1.3481499999999995,3.0,2026-04-23T03:15:00,1.3481499999999995,TP_HIT,3.0,42.0000000000087,1.35204,1.35246,100
GBPUSD_2026-04-23T00:45:00_SHORT,GBPUSD,sell,2026-04-23T00:45:00,2026-04-23T01:01:00,1.35033,1.3512000000000002,1.3477199999999996,3.0,2026-04-23T14:52:00,1.3512000000000002,SL_HIT,-1.0,57.00000000001814,1.35038,1.35095,100
GBPUSD_2026-04-23T03:30:00_SHORT,GBPUSD,sell,2026-04-23T03:30:00,2026-04-23T03:47:00,1.35058,1.35121,1.3486899999999995,3.0,2026-04-23T05:55:00,1.3486899999999995,TP_HIT,3.0,31.000000000003244,1.35065,1.35096,100
GBPUSD_2026-04-23T03:45:00_SHORT,GBPUSD,sell,2026-04-23T03:45:00,2026-04-23T04:00:00,1.35086,1.3512700000000002,1.3496299999999992,3.0,2026-04-23T05:14:00,1.3496299999999992,TP_HIT,3.0,15.000000000009448,1.35087,1.35102,100
GBPUSD_2026-04-23T14:45:00_SHORT,GBPUSD,sell,2026-04-23T14:45:00,2026-04-23T15:03:00,1.35035,1.35158,1.3466599999999997,3.0,2026-04-23T17:46:00,1.35158,SL_HIT,-1.0,75.99999999998718,1.35057,1.35133,100
GBPUSD_2026-04-24T00:30:00_LONG,GBPUSD,buy,2026-04-24T00:30:00,2026-04-24T00:45:00,1.3465,1.34564,1.3490800000000003,3.0,2026-04-24T06:18:00,1.34564,SL_HIT,-1.0,51.00000000000104,1.34589,1.3464,100
GBPUSD_2026-04-24T04:30:00_LONG,GBPUSD,buy,2026-04-24T04:30:00,2026-04-24T04:45:00,1.34668,1.34619,1.3481500000000004,3.0,2026-04-24T05:46:00,1.34619,SL_HIT,-1.0,21.99999999998869,1.34644,1.34666,100
GBPUSD_2026-04-27T03:45:00_SHORT,GBPUSD,sell,2026-04-27T03:45:00,2026-04-28T05:39:00,1.35209,1.3526,1.35056,3.0,2026-04-28T06:04:00,1.3526,SL_HIT,-1.0,18.999999999991246,1.35216,1.35235,100
GBPUSD_2026-04-27T09:45:00_SHORT,GBPUSD,sell,2026-04-27T09:45:00,2026-04-27T10:28:00,1.35352,1.3541800000000002,1.3515399999999997,3.0,2026-04-27T10:50:00,1.3541800000000002,SL_HIT,-1.0,34.000000000000696,1.35359,1.35393,100
GBPUSD_2026-04-27T10:45:00_SHORT,GBPUSD,sell,2026-04-27T10:45:00,2026-04-27T11:02:00,1.35442,1.35494,1.3528599999999997,3.0,2026-04-27T11:24:00,1.35494,SL_HIT,-1.0,19.999999999997797,1.35449,1.35469,100
GBPUSD_2026-04-27T13:30:00_SHORT,GBPUSD,sell,2026-04-27T13:30:00,2026-04-27T14:11:00,1.35564,1.3561100000000001,1.3542299999999994,3.0,2026-04-27T14:24:00,1.3561100000000001,SL_HIT,-1.0,18.0000000000069,1.35568,1.35586,100
GBPUSD_2026-04-27T21:45:00_LONG,GBPUSD,buy,2026-04-27T21:45:00,2026-04-27T22:00:00,1.35328,1.3528099999999998,1.3546900000000006,3.0,2026-04-28T04:01:00,1.3528099999999998,SL_HIT,-1.0,19.999999999997797,1.35306,1.35326,100
GBPUSD_2026-04-28T03:00:00_SHORT,GBPUSD,sell,2026-04-28T03:00:00,2026-04-28T03:15:00,1.35381,1.3543800000000001,1.3520999999999994,3.0,2026-04-28T05:39:00,1.3520999999999994,TP_HIT,3.0,31.000000000003244,1.35382,1.35413,100
GBPUSD_2026-04-28T03:45:00_LONG,GBPUSD,buy,2026-04-28T03:45:00,2026-04-28T06:26:00,1.35329,1.3528799999999999,1.3545200000000008,3.0,2026-04-28T07:09:00,1.3528799999999999,SL_HIT,-1.0,11.000000000005448,1.35313,1.35324,100
GBPUSD_2026-04-28T11:00:00_LONG,GBPUSD,buy,2026-04-28T11:00:00,2026-04-28T11:15:00,1.35072,1.3499599999999998,1.3530000000000002,3.0,2026-04-28T12:15:00,1.3499599999999998,SL_HIT,-1.0,30.000000000018897,1.35021,1.35051,100
GBPUSD_2026-04-28T20:30:00_SHORT,GBPUSD,sell,2026-04-28T20:30:00,2026-04-28T21:04:00,1.35152,1.3520100000000002,1.3500499999999998,3.0,2026-04-28T21:23:00,1.3520100000000002,SL_HIT,-1.0,16.000000000016,1.3516,1.35176,100
GBPUSD_2026-04-28T22:00:00_SHORT,GBPUSD,sell,2026-04-28T22:00:00,2026-04-28T22:15:00,1.35172,1.3523500000000002,1.3498299999999996,3.0,2026-04-29T02:53:00,1.3523500000000002,SL_HIT,-1.0,36.0000000000138,1.35174,1.3521,100
GBPUSD_2026-04-29T01:00:00_SHORT,GBPUSD,sell,2026-04-29T01:00:00,2026-04-29T01:15:00,1.35216,1.35256,1.3509600000000002,3.0,2026-04-29T03:00:00,1.35256,SL_HIT,-1.0,13.999999999980693,1.35217,1.35231,100
GBPUSD_2026-04-29T15:30:00_LONG,GBPUSD,buy,2026-04-29T15:30:00,2026-04-29T15:46:00,1.35056,1.34981,1.35281,3.0,2026-04-29T16:19:00,1.34981,SL_HIT,-1.0,45.999999999990486,1.35006,1.35052,100
GBPUSD_2026-04-29T19:45:00_LONG,GBPUSD,buy,2026-04-29T19:45:00,2026-04-29T20:07:00,1.34815,1.3477,1.3495000000000001,3.0,2026-04-29T21:00:00,1.3477,SL_HIT,-1.0,18.0000000000069,1.34795,1.34813,100
GBPUSD_2026-04-30T00:00:00_SHORT,GBPUSD,sell,2026-04-30T00:00:00,2026-04-30T00:16:00,1.3475,1.34839,1.3448299999999997,3.0,2026-04-30T02:35:00,1.34839,SL_HIT,-1.0,61.99999999998428,1.34752,1.34814,100
GBPUSD_2026-04-30T01:45:00_SHORT,GBPUSD,sell,2026-04-30T01:45:00,2026-04-30T02:01:00,1.34799,1.3484200000000002,1.3466999999999996,3.0,2026-04-30T02:36:00,1.3484200000000002,SL_HIT,-1.0,14.000000000002897,1.34803,1.34817,100
GBPUSD_2026-04-30T03:00:00_SHORT,GBPUSD,sell,2026-04-30T03:00:00,2026-04-30T03:17:00,1.34914,1.34979,1.3471899999999999,3.0,2026-04-30T05:44:00,1.3471899999999999,TP_HIT,3.0,24.000000000001794,1.3493,1.34954,100
GBPUSD_2026-04-30T07:30:00_LONG,GBPUSD,buy,2026-04-30T07:30:00,2026-04-30T07:45:00,1.34615,1.34527,1.34879,3.0,2026-04-30T10:28:00,1.34879,TP_HIT,3.0,52.999999999991935,1.34552,1.34605,100
GBPUSD_2026-04-30T09:00:00_LONG,GBPUSD,buy,2026-04-30T09:00:00,2026-04-30T09:15:00,1.3459,1.34516,1.3481200000000007,3.0,2026-04-30T10:02:00,1.3481200000000007,TP_HIT,3.0,42.0000000000087,1.34541,1.34583,100
GBPUSD_2026-04-30T11:00:00_SHORT,GBPUSD,sell,2026-04-30T11:00:00,2026-04-30T11:15:00,1.3492,1.35029,1.3459299999999998,3.0,2026-04-30T12:31:00,1.35029,SL_HIT,-1.0,69.99999999999228,1.34934,1.35004,100
