setup_id,symbol,direction,setup_time,entry_time,entry_price,sl,tp,planned_rr,exit_time,exit_price,exit_reason,pnl_r,rectangle_size_points,ai_score
NAS100_2026-04-20T16:00:00_LONG,NAS100,buy,2026-04-20T16:00:00,2026-04-20T16:15:00,26568.2,26543.2,26643.2,3.0,2026-04-20T18:08:00,26643.2,TP_HIT,3.0,2425.0,100
NAS100_2026-04-21T05:30:00_LONG,NAS100,buy,2026-04-21T05:30:00,2026-04-21T05:42:00,26667.18,26651.56,26714.039999999997,3.0,2026-04-21T11:08:00,26714.039999999997,TP_HIT,3.0,1200.0,100
NAS100_2026-04-21T17:15:00_LONG,NAS100,buy,2026-04-21T17:15:00,2026-04-21T17:30:00,26727.86,26693.86,26829.86,3.0,2026-04-21T17:38:00,26693.86,SL_HIT,-1.0,3211.999999999898,100
NAS100_2026-04-22T09:00:00_LONG,NAS100,buy,2026-04-22T09:00:00,2026-04-22T09:04:00,26682.35,26668.48,26723.959999999995,3.0,2026-04-22T09:21:00,26668.48,SL_HIT,-1.0,1300.0,100
NAS100_2026-04-24T14:15:00_LONG,NAS100,buy,2026-04-24T14:15:00,2026-04-24T14:16:00,26974.82,26938.69,27083.210000000003,3.0,2026-04-24T16:04:00,27083.210000000003,TP_HIT,3.0,3100.0,100
